airport_EN,airport_AR,year,movement
Abu  Dhabi, أبو ظـبي,2008,93163
Abu  Dhabi, أبو ظـبي,2009,102118
Abu  Dhabi, أبو ظـبي,2010,135715
Abu  Dhabi, أبو ظـبي,2011,142430
Abu  Dhabi, أبو ظـبي,2012,150768
Abu  Dhabi, أبو ظـبي,2013,135213
Abu  Dhabi, أبو ظـبي,2014,186207
Abu  Dhabi, أبو ظـبي,2015,169989
Abu  Dhabi, أبو ظـبي,2016,168535
Al - Ain, العـين,2008,2786
Al - Ain, العـين,2009,3274
Al - Ain, العـين,2010,3131
Al - Ain, العـين,2011,2753
Al - Ain, العـين,2012,4421
Al - Ain, العـين,2013,93424
Al - Ain, العـين,2014,26993
Al - Ain, العـين,2015,24579
Al - Ain, العـين,2016,25749
Dubai, دبـي,2008,270374
Dubai, دبـي,2009,280476
Dubai, دبـي,2010,307283
Dubai, دبـي,2011,326341
Dubai, دبـي,2012,344656
Dubai, دبـي,2013,373534
Dubai, دبـي,2014,357842
Dubai, دبـي,2015,407315
Dubai, دبـي,2016,420870
Sharjah, الشارقـة,2008,61494
Sharjah, الشارقـة,2009,62211
Sharjah, الشارقـة,2010,65783
Sharjah, الشارقـة,2011,64341
Sharjah, الشارقـة,2012,65975
Sharjah, الشارقـة,2013,66247
Sharjah, الشارقـة,2014,70559
Sharjah, الشارقـة,2015,71426
Sharjah, الشارقـة,2016,75967
Ras  Al - Khaima, رأس الخيمة,2008,6753
Ras  Al - Khaima, رأس الخيمة,2009,9492
Ras  Al - Khaima, رأس الخيمة,2010,11807
Ras  Al - Khaima, رأس الخيمة,2011,10473
Ras  Al - Khaima, رأس الخيمة,2012,11948
Ras  Al - Khaima, رأس الخيمة,2013,10815
Ras  Al - Khaima, رأس الخيمة,2014,8957
Ras  Al - Khaima, رأس الخيمة,2015,13842
Ras  Al - Khaima, رأس الخيمة,2016,14242
Fujeira, الفجيـرة,2008,7775
Fujeira, الفجيـرة,2009,7247
Fujeira, الفجيـرة,2010,5368
Fujeira, الفجيـرة,2011,4469
Fujeira, الفجيـرة,2012,21465
Fujeira, الفجيـرة,2013,14222
Fujeira, الفجيـرة,2014,10223
Fujeira, الفجيـرة,2015,8719
Fujeira, الفجيـرة,2016,9692
