Emirate_Ar,Emirate_En,Category_Type_Ar,Category_Type_En,Measurement_unit_Ar,Measurement_unit_En,اسم المحطة,Station Name,نوع موقع المحطة ,Type of Location ,Year,Value
دبي,Dubai,تركيز ثاني أكسيد النيتروجين (NO2),Nitrogen Dioxide (NO2) Concentration,ميكروجرام/ متر مكعب,µg/Nm3,ديرة ,Deira,سكنية ,Residential,2006,47.763
دبي,Dubai,تركيز ثاني أكسيد النيتروجين (NO2),Nitrogen Dioxide (NO2) Concentration,ميكروجرام/ متر مكعب,µg/Nm3,الصفا ,Al Safa,سكنية ,Residential,2006,40.805
دبي,Dubai,تركيز ثاني أكسيد النيتروجين (NO2),Nitrogen Dioxide (NO2) Concentration,ميكروجرام/ متر مكعب,µg/Nm3,كرامة ,Karama,سكنية ,Residential,2006,46.635
دبي,Dubai,تركيز ثاني أكسيد النيتروجين (NO2),Nitrogen Dioxide (NO2) Concentration,ميكروجرام/ متر مكعب,µg/Nm3,قرية جبل علي ,J. Ali Village,سكنية ,Residential,2006,47.95131048387097
دبي,Dubai,تركيز ثاني أكسيد النيتروجين (NO2),Nitrogen Dioxide (NO2) Concentration,ميكروجرام/ متر مكعب,µg/Nm3,ميناء  جبل علي ,J. Ali Port,صناعية ,Industrial,2006,45.50673387096774
الفجيرة,Fujairah,تركيز ثاني أكسيد النيتروجين (NO2),Nitrogen Dioxide (NO2) Concentration,ميكروجرام/ متر مكعب,µg/Nm3,سكمكم,Sakamkam,عمرانية / سكنية,Urban/Residential,2006,15.043548387096775
الفجيرة,Fujairah,تركيز ثاني أكسيد النيتروجين (NO2),Nitrogen Dioxide (NO2) Concentration,ميكروجرام/ متر مكعب,µg/Nm3,المطار,Airport,صناعية,Industrial,2006,11.282661290322581
الفجيرة,Fujairah,تركيز ثاني أكسيد النيتروجين (NO2),Nitrogen Dioxide (NO2) Concentration,ميكروجرام/ متر مكعب,µg/Nm3,الميناء,Seaport,صناعية,Industrial,2006,16.92399193548387
الفجيرة,Fujairah,تركيز ثاني أكسيد النيتروجين (NO2),Nitrogen Dioxide (NO2) Concentration,ميكروجرام/ متر مكعب,µg/Nm3,مرباح,Murbah,عمرانية / سكنية,Urban/Residential,2006,16.92399193548387
الفجيرة,Fujairah,تركيز ثاني أكسيد النيتروجين (NO2),Nitrogen Dioxide (NO2) Concentration,ميكروجرام/ متر مكعب,µg/Nm3,دبا,Diba,عمرانية / سكنية,Urban/Residential,2006,22.565322580645162
دبي,Dubai,تركيز ثاني أكسيد النيتروجين (NO2),Nitrogen Dioxide (NO2) Concentration,ميكروجرام/ متر مكعب,µg/Nm3,ديرة ,Deira,سكنية ,Residential,2007,46.25891129032258
دبي,Dubai,تركيز ثاني أكسيد النيتروجين (NO2),Nitrogen Dioxide (NO2) Concentration,ميكروجرام/ متر مكعب,µg/Nm3,الصفا ,Al Safa,سكنية ,Residential,2007,51.71219758064516
دبي,Dubai,تركيز ثاني أكسيد النيتروجين (NO2),Nitrogen Dioxide (NO2) Concentration,ميكروجرام/ متر مكعب,µg/Nm3,كرامة ,Karama,سكنية ,Residential,2007,66.37965725806451
دبي,Dubai,تركيز ثاني أكسيد النيتروجين (NO2),Nitrogen Dioxide (NO2) Concentration,ميكروجرام/ متر مكعب,µg/Nm3,قرية جبل علي ,J. Ali Village,سكنية ,Residential,2007,75.02969758064516
