year,Item_EN,Item_AR,Type_EN,Type_AR,USD_Million
2010,Trade Balance (CIF),الميزان التجارى(CIF),Credit,دائن,26537.78080326753
2010,Trade Balance (FOB),الميزان التجارى (FOB),Credit,دائن,48977.80803267529
2010,Total Exports & Re Exports,إجمالى الصادرات السلعية وإعادة التصدير,Credit,دائن,213539.00612661676
2010,Total exports of goods and services:,إجمالى الصادرات السلعية والخدمية:,Credit,دائن,225274.88087134107
2010,Crude Oil Exports,     النفط الخام,Credit,دائن,60089.04016337645
2010,     Petroleum Products Exports,     المنتجات النفطية,Credit,دائن,6679.918311776719
2010,     Gas Exports,     الغاز,Credit,دائن,7869.2988427501705
2010,     Other Exports,     صادرات أخرى,Credit,دائن,24238.257317903335
2010,     Free Zone Exports,     صادرات المناطق الحرة,Credit,دائن,26771.95371000681
2010,     Re Exports,     إعادة التصدير,Credit,دائن,87890.53778080326
2010,Total Imports ( CIF ),جملة الواردات السلعية (CIF):,Credit,دائن,nan
2010,Emirates Imports - CIF,     واردات الإمارات (CIF),Credit,دائن,nan
2010,Free Zone Imports  - CIF,     واردات المناطق الحرة (CIF),Credit,دائن,nan
2010,Total Imports ( FOB ),إجمالى الواردات (FOB),Credit,دائن,nan
2010,"Total imports, service",جملة الواردات الخدمية,Credit,دائن,nan
2010,Total imports of goods and services (CIF),إجمالى الواردات السلعية والخدمية (CIF),Credit,دائن,nan
2010,Services ( NET ),الخدمات (صافى),Credit,دائن,-30363.784887678696
2010,     Services,     الخدمات  ,Credit,دائن,11735.874744724302
2010,     Travel,     السياحة,Credit,دائن,8577.263444520082
2010,     Transport,     النقل,Credit,دائن,2450.646698434309
2010,Government Services,الخدمات الحكومية(نفقات البعثات الدبلوماسية ),Credit,دائن,707.9646017699115
2010,Other Services,خدمات أخرى,Credit,دائن,nan
2010,Fright and Insurance,نفقات الشحن والتأمين,Credit,دائن,nan
2010,Investment Income  ( NET ),دخل الإستثمارات (صافى),Credit,دائن,-99.65963240299524
2010,     Financial Entities + Pvt. non banks,     الكيانات المالية,Credit,دائن,5990.469707283867
2010,     Foreign Partners(Hydrocarbon Comps.),     الشركاء الأجانب,Credit,دائن,nan
2010,Transfers ( NET ),تحويلات (صافية),Credit,دائن,-11272.974812797822
2010,     Private,     خاصة,Credit,دائن,nan
