Indicator_EN,IndicatorURL,Indicator_AR,Variable_EN - Movement Type,MovementURL,Variable_AR - Movement Type,Geography_EN,Geography_AR,Temporal Ref - Year_EN,Value
Aircrafts Movement,https://citygraph.abudhabi.nyu.edu/wiki/Item:Q3052205,حركـــــــة الطائرات,Arrivals,https://citygraph.abudhabi.nyu.edu/wiki/Item:Q3052206,قادمة,Abu Dhabi,أبو ظبي,2014,"69,514"
Aircrafts Movement,https://citygraph.abudhabi.nyu.edu/wiki/Item:Q3052205,حركـــــــة الطائرات,Arrivals,https://citygraph.abudhabi.nyu.edu/wiki/Item:Q3052206,قادمة,Dubai,دبي,2014,"190,208"
Aircrafts Movement,https://citygraph.abudhabi.nyu.edu/wiki/Item:Q3052205,حركـــــــة الطائرات,Arrivals,https://citygraph.abudhabi.nyu.edu/wiki/Item:Q3052206,قادمة,Sharjah,الشارقة,2014,"34,940"
Aircrafts Movement,https://citygraph.abudhabi.nyu.edu/wiki/Item:Q3052205,حركـــــــة الطائرات,Arrivals,https://citygraph.abudhabi.nyu.edu/wiki/Item:Q3052206,قادمة,Ras al-Khaimah,رأس الخيمة,2014,"1,328"
Aircrafts Movement,https://citygraph.abudhabi.nyu.edu/wiki/Item:Q3052205,حركـــــــة الطائرات,Arrivals,https://citygraph.abudhabi.nyu.edu/wiki/Item:Q3052206,قادمة,Fujairah,الفجيرة,2014,634
Aircrafts Movement,https://citygraph.abudhabi.nyu.edu/wiki/Item:Q3052205,حركـــــــة الطائرات,Departures,https://citygraph.abudhabi.nyu.edu/wiki/Item:Q767956,مغادرة,Abu Dhabi,أبو ظبي,2014,"69,522"
Aircrafts Movement,https://citygraph.abudhabi.nyu.edu/wiki/Item:Q3052205,حركـــــــة الطائرات,Departures,https://citygraph.abudhabi.nyu.edu/wiki/Item:Q767956,مغادرة,Dubai,دبي,2014,"190,195"
Aircrafts Movement,https://citygraph.abudhabi.nyu.edu/wiki/Item:Q3052205,حركـــــــة الطائرات,Departures,https://citygraph.abudhabi.nyu.edu/wiki/Item:Q767956,مغادرة,Sharjah,الشارقة,2014,"34,981"
Aircrafts Movement,https://citygraph.abudhabi.nyu.edu/wiki/Item:Q3052205,حركـــــــة الطائرات,Departures,https://citygraph.abudhabi.nyu.edu/wiki/Item:Q767956,مغادرة,Ras al-Khaimah,رأس الخيمة,2014,"1,308"
Aircrafts Movement,https://citygraph.abudhabi.nyu.edu/wiki/Item:Q3052205,حركـــــــة الطائرات,Departures,https://citygraph.abudhabi.nyu.edu/wiki/Item:Q767956,مغادرة,Fujairah,الفجيرة,2014,605
Aircrafts Movement,https://citygraph.abudhabi.nyu.edu/wiki/Item:Q3052205,حركـــــــة الطائرات,Arrivals,https://citygraph.abudhabi.nyu.edu/wiki/Item:Q3052206,قادمة,Abu Dhabi,أبو ظبي,2015,"79,145"
Aircrafts Movement,https://citygraph.abudhabi.nyu.edu/wiki/Item:Q3052205,حركـــــــة الطائرات,Arrivals,https://citygraph.abudhabi.nyu.edu/wiki/Item:Q3052206,قادمة,Dubai,دبي,2015,"213,210"
Aircrafts Movement,https://citygraph.abudhabi.nyu.edu/wiki/Item:Q3052205,حركـــــــة الطائرات,Arrivals,https://citygraph.abudhabi.nyu.edu/wiki/Item:Q3052206,قادمة,Sharjah,الشارقة,2015,"35,517"
Aircrafts Movement,https://citygraph.abudhabi.nyu.edu/wiki/Item:Q3052205,حركـــــــة الطائرات,Arrivals,https://citygraph.abudhabi.nyu.edu/wiki/Item:Q3052206,قادمة,Ras al-Khaimah,رأس الخيمة,2015,"2,260"
Aircrafts Movement,https://citygraph.abudhabi.nyu.edu/wiki/Item:Q3052205,حركـــــــة الطائرات,Arrivals,https://citygraph.abudhabi.nyu.edu/wiki/Item:Q3052206,قادمة,Fujairah,الفجيرة,2015,526
Aircrafts Movement,https://citygraph.abudhabi.nyu.edu/wiki/Item:Q3052205,حركـــــــة الطائرات,Departures,https://citygraph.abudhabi.nyu.edu/wiki/Item:Q767956,مغادرة,Abu Dhabi,أبو ظبي,2015,"79,091"
Aircrafts Movement,https://citygraph.abudhabi.nyu.edu/wiki/Item:Q3052205,حركـــــــة الطائرات,Departures,https://citygraph.abudhabi.nyu.edu/wiki/Item:Q767956,مغادرة,Dubai,دبي,2015,"213,237"
Aircrafts Movement,https://citygraph.abudhabi.nyu.edu/wiki/Item:Q3052205,حركـــــــة الطائرات,Departures,https://citygraph.abudhabi.nyu.edu/wiki/Item:Q767956,مغادرة,Sharjah,الشارقة,2015,"35,598"
Aircrafts Movement,https://citygraph.abudhabi.nyu.edu/wiki/Item:Q3052205,حركـــــــة الطائرات,Departures,https://citygraph.abudhabi.nyu.edu/wiki/Item:Q767956,مغادرة,Ras al-Khaimah,رأس الخيمة,2015,"2,239"
Aircrafts Movement,https://citygraph.abudhabi.nyu.edu/wiki/Item:Q3052205,حركـــــــة الطائرات,Departures,https://citygraph.abudhabi.nyu.edu/wiki/Item:Q767956,مغادرة,Fujairah,الفجيرة,2015,389
Aircrafts Movement,https://citygraph.abudhabi.nyu.edu/wiki/Item:Q3052205,حركـــــــة الطائرات,Arrivals,https://citygraph.abudhabi.nyu.edu/wiki/Item:Q3052206,قادمة,Abu Dhabi,أبو ظبي,2016,"80,694"
Aircrafts Movement,https://citygraph.abudhabi.nyu.edu/wiki/Item:Q3052205,حركـــــــة الطائرات,Arrivals,https://citygraph.abudhabi.nyu.edu/wiki/Item:Q3052206,قادمة,Dubai,دبي,2016,"220,431"
