Position,title,link
1.0,Key Indicators of Imports of Goods by Year for the Emirate of Abu Dhabi,https://admin.bayanat.ae/Home/DatasetInfo?dID=XTS2w3JVFoMGVhwiRVtm4Mft8-cl_8UQmWkzi0Sj1ps
2.0,Quantity of Produced Water by Authority and Water Source,https://admin.bayanat.ae/Home/DatasetInfo?dID=zohJ-dZdFrL51Y12666yGqIaN_ydsCF9X2hYSmDxZ-o
3.0,"Under-5 mortality by Emirate, Nationality group, Age Group and Gender",https://admin.bayanat.ae/Home/DatasetInfo?dID=OOxUvBJtCsPz8KbR3KDQwTf2cq8MlRovUIMUNNVsdjM
4.0,"Marriage contracts by emirate, gender and nationality category",https://admin.bayanat.ae/Home/DatasetInfo?dID=GA49_ln2CEqDLOVrolAWfZ29OSGmNf5v5-ymi6Z5USY
5.0,Industrial Licensing Statistics,https://admin.bayanat.ae/Home/DatasetInfo?dID=du24zmLRZ3P50rRpYGjjFVWeCnC32oD4L5xypODabLE
6.0,"Registered, barred, renewed and updated data agencies based on Emirate",https://admin.bayanat.ae/Home/DatasetInfo?dID=crH1tJhIG1creTtQz36SsC-OMo_3LIS0A0NLAbWU5PY
7.0,Government Procurement open data,https://admin.bayanat.ae/Home/DatasetInfo?dID=GV_3r3MvffdDWkpaCUPFpy6vmUbnvmHsiG2XuOVaHe0
8.0,Hospitals Number by emirate and sector,https://admin.bayanat.ae/Home/DatasetInfo?dID=pY03b4bjPbvDhPAi-QUnFY_gF8V0P1WVVvEhHKa39BU
9.0,Agricultural Commodity production by Type,https://admin.bayanat.ae/Home/DatasetInfo?dID=7vu0ewxWIdT45JtLlbY0TCuzVuvpqSLWrGgzVgUF9os
10.0,"Higher Education Graduates by Citizenship, Government and Private Sector, and Gender per Year",https://admin.bayanat.ae/Home/DatasetInfo?dID=LbAz_VCrCAfeirxX2JH-0fjIhR3AVBUWt6eTj_5gAFE
11.0,SEER stage distribution of total cancer cases in UAE,https://admin.bayanat.ae/Home/DatasetInfo?dID=_OEd5II2-_A9DsEa-rtYHyBOaiLv49hHrVkXt8UMvPg
12.0,Five most common cancers by gender in UAE,https://admin.bayanat.ae/Home/DatasetInfo?dID=O1Fb93MaTl4VIk7k9YA8LQgdwvLRzpddXUB9ZCppgJ8
13.0,Proportion of women in the privet sector,https://admin.bayanat.ae/Home/DatasetInfo?dID=dEbfqWBgrInIyV9YDOKAlY8Gcr6b7e9VcSSmHUitUdM
14.0,high-capital-intensive industries in the industrial sector in the UAE,https://admin.bayanat.ae/Home/DatasetInfo?dID=Eq9vr6GTzcr-O45yeZiTNzfmKVjbvYMkNKgJvKbZGWU
15.0,New Industrial Licenses Issued by Year and Emirate,https://admin.bayanat.ae/Home/DatasetInfo?dID=i3hFXXLQ9Cwa1zeds83oyPDGaqdI6fo5NcJNTjsm52s
16.0,"Industrial licenses by sector, employees, and revenue",https://admin.bayanat.ae/Home/DatasetInfo?dID=_I3mAFI2xFVEmh60oih_OL431zgVW2Algr7JTW5vwyo
17.0,Teaching staff in Higher Education by gender,https://admin.bayanat.ae/Home/DatasetInfo?dID=kBmgJefndfDhUM1l5aeWwZdvpyycScL0dRYEylE1kGU
18.0,Electricity Tariff,https://admin.bayanat.ae/Home/DatasetInfo?dID=uSwjiYdZUawLjfvpX5qhdqZ_2W_dEqSNcYqa2qiZZ8A
